id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage
bitcoin,BTC,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,56709.0,1119183860831.0,1,1189896521345,34526744293,56764.0,54219.0,2228.14,4.0898,43052145435.0,4.00064,19752021.0,21000000.0,21000000.0,73738.0,-23.354,2024-03-14 07:10:36.635000+00:00,67.81,83247.61211,2013-07-06 00:00:00+00:00,2024-09-09 19:10:52.654000+00:00,0.0,N/A,0.0
ethereum,ETH,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2335.8,280962424690.0,2,280962424690,15330362514,2350.26,2269.73,58.14,2.55272,6824303945.0,2.48937,120323926.08,120323926.08,,4878.26,-52.17681,2021-11-10 14:24:19.604000+00:00,0.432979,538711.47067,2015-10-20 00:00:00+00:00,2024-09-09 19:10:47.884000+00:00,54.09024364215845,btc,5409.024364215845
tether,USDT,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,118298590647.0,3,118298590647,36383905151,1.005,0.997414,0.00085504,0.08548,69499794.0,0.05878,118195386570.32,118195386570.32,,1.32,-24.46466,2018-07-24 00:00:00+00:00,0.572521,74.56209,2015-03-02 00:00:00+00:00,2024-09-09 19:10:52.685000+00:00,0.0,N/A,0.0
binancecoin,BNB,Bnb,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,518.28,75541475781.0,4,75541475781,772905053,518.36,494.94,21.36,4.29939,3043314136.0,4.19778,145887575.79,145887575.79,200000000.0,717.48,-27.98541,2024-06-06 14:10:59.816000+00:00,0.0398177,1297531.28433,2017-10-19 00:00:00+00:00,2024-09-09 19:10:52.548000+00:00,0.0,N/A,0.0
solana,SOL,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,133.6,62343335394.0,5,77874366920,2761021573,133.74,127.09,4.65,3.60957,2074623514.0,3.44229,467640455.43,584139494.34,,259.96,-48.77527,2021-11-06 21:54:35.825000+00:00,0.500801,26490.07542,2020-05-11 19:35:23.449000+00:00,2024-09-09 19:10:39.067000+00:00,0.0,N/A,0.0
usd-coin,USDC,Usdc,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,35170287977.0,6,35179330877,7600614835,1.002,0.997742,0.00075988,0.07597,200705149.0,0.57394,35150038492.26,35159076186.24,,1.17,-14.77427,2019-05-08 00:40:28.300000+00:00,0.877647,13.87811,2023-03-11 08:02:13.981000+00:00,2024-09-09 19:10:54.279000+00:00,0.0,N/A,0.0
ripple,XRP,Xrp,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.54,30248486865.0,7,53692476556,879183648,0.537874,0.524323,0.01061211,2.01608,604096631.0,2.03781,56329375591.0,99987271820.0,100000000000.0,3.4,-84.24382,2018-01-07 00:00:00+00:00,0.00268621,19833.91135,2014-05-22 00:00:00+00:00,2024-09-09 19:10:53.616000+00:00,0.0,N/A,0.0
staked-ether,STETH,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2333.36,22821044255.0,8,22821044255,71860257,2345.59,2266.45,58.71,2.58097,507973357.0,2.27657,9792691.78,9792691.78,,4829.57,-51.78618,2021-11-10 14:40:47.256000+00:00,482.9,382.19895,2020-12-22 04:08:21.854000+00:00,2024-09-09 19:10:38.960000+00:00,0.0,N/A,0.0
dogecoin,DOGE,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.1,15125447761.0,9,15125762950,799108139,0.104364,0.095061,0.00805674,8.42323,1184559625.0,8.49702,145884856383.7,145887896383.7,,0.731578,-85.84285,2021-05-08 05:08:23.458000+00:00,8.69e-05,119078.48542,2015-05-06 00:00:00+00:00,2024-09-09 19:10:51.980000+00:00,0.0,N/A,0.0
tron,TRX,Tron,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.15,13406626053.0,10,13406644181,427802004,0.155155,0.152508,0.00168686,1.10269,135030885.0,1.01744,86721876559.33,86721993822.75,,0.231673,-33.31757,2018-01-05 00:00:00+00:00,0.00180434,8461.84995,2017-11-12 00:00:00+00:00,2024-09-09 19:10:41.289000+00:00,80.40216708812731,usd,8040.216708812732
the-open-network,TON,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/img-ton.jpg?1724681212,5.18,13107330626.0,11,26452968873,465291200,5.18,4.78,0.380737,7.93133,958007547.0,7.88528,2532774764.35,5111598533.29,,8.25,-37.35918,2024-06-15 00:36:51.509000+00:00,0.519364,895.47316,2021-09-21 00:33:11.092000+00:00,2024-09-09 19:10:40.412000+00:00,0.0,N/A,0.0
cardano,ADA,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.34,12218436945.0,12,15420572281,319038027,0.348534,0.334065,0.00425347,1.25667,142744763.0,1.18208,35655593871.61,45000000000.0,45000000000.0,3.09,-88.9038,2021-09-02 06:00:10.474000+00:00,0.01925275,1679.1226,2020-03-13 02:22:55.044000+00:00,2024-09-09 19:10:52.601000+00:00,0.0,N/A,0.0
