id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi_times,roi_currency,roi_percentage
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,56709.0,1119183860831,1,1189896521345,34526744293,56764.0,54219.0,2228.14,4.0898,43052145435.0,4.00064,19752021.0,21000000.0,21000000.0,73738.0,-23.354,2024-03-14T07:10:36.635Z,67.81,83247.61211,2013-07-06T00:00:00.000Z,,2024-09-09T19:10:52.654Z,,,
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2335.8,280962424690,2,280962424690,15330362514,2350.26,2269.73,58.14,2.55272,6824303945.0,2.48937,120323926.081432,120323926.081432,,4878.26,-52.17681,2021-11-10T14:24:19.604Z,0.432979,538711.47067,2015-10-20T00:00:00.000Z,,2024-09-09T19:10:47.884Z,54.09024364215845,btc,5409.024364215845
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,118298590647,3,118298590647,36383905151,1.005,0.997414,0.00085504,0.08548,69499794.0,0.05878,118195386570.316,118195386570.316,,1.32,-24.46466,2018-07-24T00:00:00.000Z,0.572521,74.56209,2015-03-02T00:00:00.000Z,,2024-09-09T19:10:52.685Z,,,
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,518.28,75541475781,4,75541475781,772905053,518.36,494.94,21.36,4.29939,3043314136.0,4.19778,145887575.79,145887575.79,200000000.0,717.48,-27.98541,2024-06-06T14:10:59.816Z,0.0398177,1297531.28433,2017-10-19T00:00:00.000Z,,2024-09-09T19:10:52.548Z,,,
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,133.6,62343335394,5,77874366920,2761021573,133.74,127.09,4.65,3.60957,2074623514.0,3.44229,467640455.425851,584139494.342656,,259.96,-48.77527,2021-11-06T21:54:35.825Z,0.500801,26490.07542,2020-05-11T19:35:23.449Z,,2024-09-09T19:10:39.067Z,,,
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.001,35170287977,6,35179330877,7600614835,1.002,0.997742,0.00075988,0.07597,200705149.0,0.57394,35150038492.2644,35159076186.2364,,1.17,-14.77427,2019-05-08T00:40:28.300Z,0.877647,13.87811,2023-03-11T08:02:13.981Z,,2024-09-09T19:10:54.279Z,,,
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.536987,30248486865,7,53692476556,879183648,0.537874,0.524323,0.01061211,2.01608,604096631.0,2.03781,56329375591.0,99987271820.0,100000000000.0,3.4,-84.24382,2018-01-07T00:00:00.000Z,0.00268621,19833.91135,2014-05-22T00:00:00.000Z,,2024-09-09T19:10:53.616Z,,,
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2333.36,22821044255,8,22821044255,71860257,2345.59,2266.45,58.71,2.58097,507973357.0,2.27657,9792691.78425951,9792691.78425951,,4829.57,-51.78618,2021-11-10T14:40:47.256Z,482.9,382.19895,2020-12-22T04:08:21.854Z,,2024-09-09T19:10:38.960Z,,,
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.103706,15125447761,9,15125762950,799108139,0.104364,0.095061,0.00805674,8.42323,1184559625.0,8.49702,145884856383.705,145887896383.705,,0.731578,-85.84285,2021-05-08T05:08:23.458Z,8.69e-05,119078.48542,2015-05-06T00:00:00.000Z,,2024-09-09T19:10:51.980Z,,,
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.154664,13406626053,10,13406644181,427802004,0.155155,0.152508,0.00168686,1.10269,135030885.0,1.01744,86721876559.3324,86721993822.7456,,0.231673,-33.31757,2018-01-05T00:00:00.000Z,0.00180434,8461.84995,2017-11-12T00:00:00.000Z,,2024-09-09T19:10:41.289Z,80.40216708812731,usd,8040.216708812732
